x_value,total_1,total_2
0,1000,1000
1,1004,998
2,1000,993
3,1008,998
4,1004,1000
5,1009,1000
6,1011,1006
7,1008,1008
8,1002,1007
9,1004,1010
10,1007,1013
11,1003,1018
12,1002,1024
13,1007,1020
14,1006,1023
15,1000,1027
16,995,1023
17,1003,1019
18,1006,1021
19,1005,1017
20,1000,1016
21,1003,1012
22,1001,1012
23,1009,1014
24,1006,1012
25,1007,1013
26,1001,1016
27,999,1011
28,996,1015
29,998,1019
30,1003,1020
31,1009,1015
32,1003,1014
33,1000,1009
34,1001,1011
35,996,1014
36,995,1010
37,997,1011
38,1005,1010
39,1010,1013
40,1007,1015
41,1002,1018
42,1005,1018
43,999,1015
44,1007,1010
45,1012,1005
46,1018,1010
47,1018,1016
48,1023,1015
49,1029,1012
50,1026,1011
51,1021,1011
52,1029,1010
53,1034,1008
54,1038,1013
55,1037,1009
56,1039,1010
57,1046,1006
58,1044,1011
59,1038,1008
60,1033,1008
61,1029,1011
62,1037,1014
63,1037,1016
64,1040,1011
65,1047,1011
66,1042,1013
67,1050,1012
68,1058,1008
69,1052,1004
70,1050,1001
71,1050,1005
72,1046,1003
73,1042,1000
74,1047,998
75,1049,999
76,1046,1005
77,1053,1001
78,1058,996
79,1062,995
80,1063,994
81,1059,997
82,1053,992
83,1054,998
84,1057,999
85,1054,1004
